dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
bbc,fine,69,0.118,0.9636839351125066,0.9772872001698153,0.9504541701073493,4604,107,240
bbc,fine,70,0.052,0.9636699507389164,0.9581632653061225,0.9692402972749794,4695,205,149
bbc,fine,71,0.053,0.9636475662353666,0.9587249693502248,0.9686209744013212,4692,202,152
bbc,fine,72,0.054,0.9635411317654308,0.9587165338238299,0.9684145334434352,4691,202,153
bbc,fine,73,0.124,0.9634056831288665,0.9789047517579373,0.9483897605284889,4594,99,250
bbc,fine,74,0.125,0.9632969798657718,0.9789002557544757,0.9481833195706028,4593,99,251
bbc,fine,75,0.126,0.9630795049297253,0.9788912579957356,0.9477704376548307,4591,99,253
bbc,fine,76,0.127,0.9630795049297253,0.9788912579957356,0.9477704376548307,4591,99,253
bbc,fine,77,0.051,0.9630769230769232,0.9569914390542194,0.9692402972749794,4695,211,149
bbc,fine,78,0.128,0.962962962962963,0.9790911030509921,0.9473575557390587,4589,98,255
bbc,fine,79,0.13,0.9628307433851322,0.9797008547008547,0.9465317919075145,4585,95,259
bbc,fine,80,0.05,0.9627806828668102,0.9564066001222244,0.9692402972749794,4695,214,149
bbc,fine,81,0.129,0.9627453038094239,0.9790821771611526,0.9469446738232865,4587,98,257
bbc,fine,82,0.131,0.9627140006301859,0.9799016463545007,0.9461189099917423,4583,94,261
bbc,fine,83,0.133,0.962573591253154,0.980719794344473,0.9450867052023122,4578,90,266
bbc,fine,84,0.134,0.962573591253154,0.980719794344473,0.9450867052023122,4578,90,266
bbc,fine,85,0.132,0.9624960605105578,0.9798930481283422,0.9457060280759703,4581,94,263
bbc,fine,86,0.049,0.962385979296915,0.9556279259108488,0.9692402972749794,4695,218,149
bbc,fine,87,0.135,0.962363330529857,0.9805055698371894,0.9448802642444261,4577,91,267
bbc,fine,88,0.136,0.9622542319419619,0.9805013927576601,0.94467382328654,4576,91,268
bbc,fine,89,0.048,0.962188748847218,0.9552390640895219,0.9692402972749794,4695,220,149
bbc,fine,90,0.046,0.962113454843334,0.9544900446972775,0.9698596201486375,4698,224,146
bbc,fine,91,0.045,0.9620227249462586,0.9541116751269035,0.9700660611065235,4699,226,145
bbc,fine,92,0.047,0.9619993854348048,0.9546655824354544,0.9694467382328654,4696,223,148
bbc,fine,93,0.137,0.9619267984854859,0.9804888507718696,0.944054500412882,4573,91,271
bbc,fine,94,0.138,0.9617854511001158,0.9813104189044038,0.9430222956234517,4568,87,276
bbc,fine,95,0.139,0.9613399346887179,0.9815013981501398,0.9419900908340215,4563,86,281
bbc,fine,96,0.044,0.9611372468807527,0.9523713011755168,0.9700660611065235,4699,235,145
bbc,fine,97,0.14,0.9611210620587926,0.98149343662578,0.9415772089182494,4561,86,283
bbc,fine,98,0.141,0.9608938547486033,0.9816928709885849,0.9409578860445913,4558,85,286
bbc,fine,99,0.042,0.9608744509142915,0.9510616784630941,0.9708918249380677,4703,242,141
bbc,fine,100,0.043,0.9608584568216657,0.9514268366727383,0.9704789430222956,4701,240,143
bbc,fine,101,0.041,0.9607843137254901,0.9506871463217461,0.9710982658959537,4704,244,140
bbc,fine,102,0.142,0.9605651623787431,0.9816810344827587,0.9403385631709331,4555,85,289
bbc,fine,103,0.144,0.9604472102098934,0.9818848393357774,0.9399256812551611,4553,84,291
bbc,fine,104,0.143,0.9603459185825776,0.9816731349719707,0.9399256812551611,4553,85,291
bbc,fine,105,0.145,0.9603291833720194,0.9820889080707812,0.9395127993393889,4551,83,293
bbc,fine,106,0.04,0.960204081632653,0.9493543179983858,0.9713047068538398,4705,251,139
bbc,fine,107,0.146,0.9601013299556682,0.9822894168466523,0.9388934764657308,4548,82,296
bbc,fine,108,0.147,0.9598817567567567,0.9822817631806395,0.9384805945499587,4546,82,298
bbc,fine,109,0.039,0.9597144314125446,0.9483975005039307,0.9713047068538398,4705,256,139
bbc,fine,110,0.148,0.9594423320659062,0.9822664359861591,0.9376548307184145,4542,82,302
bbc,fine,111,0.149,0.9593324178726101,0.9822626000432619,0.9374483897605285,4541,82,303
bbc,fine,112,0.038,0.9593313627560901,0.9474531910610026,0.9715111478117259,4706,261,138
bbc,fine,113,0.037,0.9591358402119639,0.9470718454417388,0.9715111478117259,4706,263,138
bbc,fine,114,0.15,0.9588925287963648,0.9822472396622646,0.9366226259289843,4537,82,307
bbc,fine,115,0.151,0.9587824984147114,0.9822433954092681,0.9364161849710982,4536,82,308
